Year,County,Surgery,# of Cases (ICD 10)
2013,Fresno,Pancreas,2
2013,Fresno,Liver,3
2013,Humboldt,Breast,3
2013,Humboldt,Colon,9
2013,Humboldt,Esophagus,1
2013,Humboldt,Lung,1
2013,Humboldt,Breast,21
2013,Humboldt,Colon,4
2013,Humboldt,Brain,2
2013,Humboldt,Stomach,2
2013,Humboldt,Prostate,4
2013,Humboldt,Rectum,4
2013,Humboldt,Pancreas,3
2013,Humboldt,Breast,63
2013,Humboldt,Lung,12
2013,Humboldt,Colon,19
2013,Humboldt,Bladder,4
2013,Imperial,Prostate,18
2013,Imperial,Colon,14
2013,Imperial,Brain,1
2013,Imperial,Breast,18
2013,Imperial,Lung,4
2013,Imperial,Bladder,1
2013,Imperial,Brain,1
2013,Imperial,Colon,4
2013,Imperial,Breast,12
2013,Imperial,Prostate,1
2013,Inyo,Colon,4
2013,Inyo,Breast,6
2013,Kern,Breast,7
2013,Kern,Stomach,1
2013,Kern,Rectum,3
2013,Kern,Colon,4
2013,Kern,Bladder,1
2013,Kern,Lung,26
2013,Kern,Brain,15
2013,Kern,Rectum,8
2013,Kern,Stomach,5
2013,Kern,Prostate,5
2013,Kern,Colon,34
2013,Kern,Breast,61
2013,Kern,Brain,3
2013,Kern,Liver,2
2013,Kern,Lung,1
2013,Kern,Stomach,4
2013,Kern,Rectum,3
2013,Kern,Breast,31
2013,Kern,Colon,6
2013,Kern,Rectum,5
2013,Kern,Prostate,17
2013,Kern,Stomach,2
2013,Kern,Lung,4
2013,Kern,Colon,18
2013,Kern,Breast,100
2013,Kern,Brain,2
2013,Kern,Bladder,1
2013,Kern,Prostate,1
2013,Kern,Breast,6
2013,Kern,Colon,4
2013,Kern,Rectum,1
2013,Kern,Rectum,6
2013,Kern,Stomach,2
2013,Kern,Colon,48
2013,Kern,Prostate,13
2013,Kern,Lung,6
2013,Kern,Pancreas,2
2013,Kern,Bladder,1
2013,Kern,Breast,93
2013,Kern,Brain,13
2013,Kern,Colon,4
2013,Kern,Breast,2
2013,Kern,Stomach,1
2013,Kings,Lung,2
2013,Kings,Rectum,6
2013,Kings,Liver,2
2013,Kings,Prostate,7
2013,Kings,Colon,22
2013,Kings,Stomach,1
2013,Kings,Breast,53
2013,Kings,Bladder,1
2013,Lake,Colon,6
2013,Lake,Breast,6
2013,Lake,Colon,9
2013,Lake,Breast,8
2013,Los Angeles,Rectum,6
2013,Los Angeles,Breast,25
2013,Los Angeles,Colon,39
2013,Los Angeles,Liver,2
2013,Los Angeles,Lung,1
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Stomach,10
2013,Los Angeles,Rectum,12
